SEXE,AGE,TAILLE_AGGLOMERATION_NB_HABITANTS,REGION,CSP,SITUATION_FAMILIALE,ENFANT,Q5_1_val_VarFr,Q5_2_val_PopRock,Q5_3_val_RapHipHop,Q5_4_val_Classique,Q5_5_val_Jazz,Q5_6_val_Dance,Q5_7_val_Electro,Q5_8_val_Metal,Q5_9_val_RnB,Q5_10_val_Soul,Q5_11_val_Reggae,Q5_12_val_MusiqueDuMonde,Q5_13_val_Autre
Homme,50_64,Moins_100000,Grand-Est,Inactif,En_couple,Aucun,Variété Française,Pop / Rock,,,,,,,,,,,
Homme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,Métal,,,,,
Homme,35_49,Plus_100000,Île-de-France,CSP_Plus,En_couple,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,Métal,,,,,
Homme,35_49,Moins_100000,Auvergne-Rhône-Alpes,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,Pop / Rock,Rap / Hip-Hop,,,,,Métal,R&B,Soul,Reggae,,
Femme,15_24,Moins_100000,Pays-de-la-Loire,CSP_Moins,En_couple,Aucun,,,,Classique,,,,,,,,,
Femme,35_49,Moins_100000,Grand-Est,CSP_Moins,En_couple,Un_ou_plus_dans_le_foyer,Variété Française,,,,,,,,,,,,
Homme,15_24,Moins_100000,Normandie,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,,Pop / Rock,,,,,,,,,,,
Homme,35_49,Moins_100000,Occitanie,CSP_Plus,En_couple,Aucun,,,Rap / Hip-Hop,,,,Electronique,,R&B,,,,
Homme,15_24,Plus_100000,Provence-Alpes-Côte-d'Azur,Inactif,Enfant_vivant_chez_parents,Aucun,,,Rap / Hip-Hop,,Jazz,,,,R&B,Soul,Reggae,Musiques du monde,
Homme,15_24,Moins_100000,Occitanie,Inactif,Enfant_vivant_chez_parents,Aucun,,,Rap / Hip-Hop,,,,,,,,,,
Homme,15_24,Plus_100000,Provence-Alpes-Côte-d'Azur,Inactif,Enfant_vivant_chez_parents,Un_ou_plus_dans_le_foyer,,,Rap / Hip-Hop,,,,,,,,,,
Femme,35_49,Moins_100000,Hauts-de-France,CSP_Moins,Célibataire,Aucun,Variété Française,Pop / Rock,Rap / Hip-Hop,,,Dance,Electronique,,R&B,Soul,,,
